18960300,,,,,,,
Elektronische Publikation,Electronic Publication,,https://d-nb.info/gnd/4514269-5,,,fabio:DigitalManifestation,fabio:AnalogItem
Elfenbein,Ivory,Y,https://d-nb.info/gnd/4014424-0,,,,
Emblembuch,Emblem Book,,https://d-nb.info/gnd/4014553-0,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Enthaltenes Werk,Contained Work,,,,fabio:Expression,fabio:PrintObject,fabio:AnalogItem
Entscheidungssammlung,Law Report,Y,https://d-nb.info/gnd/4152408-1,fabio:LegalOpinion + fabio:WorkCollection,,fabio:PrintObject,fabio:AnalogItem
Enzyklopädie,Encyclopedia,Y,https://d-nb.info/gnd/4014986-9,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Epigramm,Epigram,Y,https://d-nb.info/gnd/4152507-3,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Epik,Epic Poetry,Y,https://d-nb.info/gnd/4015025-2,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Epik / Epos / Verserzählung / Roman / Erzählung,Epic Poety / Epic Poem / Narrative Poem / Novel / Short Story,Y,https://d-nb.info/gnd/4015025-2+https://d-nb.info/gnd/4015065-3+https://d-nb.info/gnd/4187991-0+https://d-nb.info/gnd/4050479-7+https://d-nb.info/gnd/4015464-6,,,,
Epikedeion,Epicedion,Y,https://d-nb.info/gnd/4359648-4,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Epos,Epic Poem,Y,https://d-nb.info/gnd/4015065-3,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Erbauungsliteratur,Edifying Literature,Y,https://d-nb.info/gnd/4129866-4,,,,
Erinnerungsblatt,Memorial Card,,https://d-nb.info/gnd/4795933-2,fabio:StillImage,,fabio:Page,fabio:AnalogItem
Erlebnisbericht,Eyewitness Report,Y,https://d-nb.info/gnd/4133254-4,fabio:Report,,fabio:PrintObject,fabio:AnalogItem
Erotik,Erotica,Y,https://d-nb.info/gnd/4015369-1,,,,
Erotische,Erotica,Y,https://d-nb.info/gnd/4015369-1,,,,
Erotische Literatur,Erotica,Y,https://d-nb.info/gnd/4139435-5,,,,
Erzählung,Story,,https://d-nb.info/gnd/4015464-6,fabio:ShortStory,,fabio:PrintObject,fabio:AnalogItem
Etikett,Sticker / Label,Y,https://d-nb.info/gnd/4131166-8,,,,
Euroregion,,Y,https://d-nb.info/gnd/4100306-8,,,,
Exlibris,Book Plate,,https://d-nb.info/gnd/4015985-1,,,,
Fabel,Fable,Y,https://d-nb.info/gnd/4016112-2,,,,
Fallsammlung,Case Digest,,https://d-nb.info/gnd/4153616-2,fabio:LegalOpinion,,fabio:PrintObject,fabio:AnalogItem
Fastnachtsspiel,Shrovetide Play,Y,https://d-nb.info/gnd/4016518-8,fabio:Play,,fabio:PrintObject,fabio:AnalogItem
Faszikel,Unbound Manuscripts,,,,,,
Faszikel Handschrift,Unbound Manuscripts,,,,,fabio:AnalogManifestation,fabio:AnalogItem
Feldpost,Military Postal Service,,https://d-nb.info/gnd/4129680-1,,fabio:Letter,fabio:AnalogManifestation,fabio:AnalogItem
Feldpost - 1866,Military Postal Service,,https://d-nb.info/gnd/4129680-1,,fabio:Letter,fabio:AnalogManifestation,fabio:AnalogItem
Felsformation,Rock Formation,Y,https://d-nb.info/gnd/4436005-8,,,,
Festbeschreibung,Ceremonial Description,,https://d-nb.info/gnd/4121260-5,,fabio:ReportDocument,fabio:PrintObject,fabio:AnalogItem
festschrift,Festschrift,,https://d-nb.info/gnd/4016928-5,,fabio:Expression,fabio:PrintObject,fabio:AnalogItem
Festschrift,Festschrift,,https://d-nb.info/gnd/4016928-5,,fabio:Expression,fabio:PrintObject,fabio:AnalogItem
Festungsbau,Fortress Construction,Y,https://d-nb.info/gnd/4016934-0,,,,
Fibel,Primer,,https://d-nb.info/gnd/4017033-0,fabio:InstructionalWork,,fabio:PrintObject,fabio:AnalogItem
Figurengedicht,Calligram,,https://d-nb.info/gnd/4130241-2,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Firmenschrift,Corporate publication,,https://d-nb.info/gnd/4772181-9,,fabio:Expression,fabio:PrintObject,fabio:AnalogItem
Firmenzeichen,Corporate logo,,https://d-nb.info/gnd/4124979-3,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Flachriss,Geological Seam Map,,https://d-nb.info/gnd/4230496-9,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Flöz,Coal Seam,Y,https://d-nb.info/gnd/4154649-0,,,,
Flözkarte,Coal Seam Map,,https://d-nb.info/gnd/4029783-4 + https://d-nb.info/gnd/4154649-0,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Flugblatt,Flyer,,https://d-nb.info/gnd/4071280-1,fabio:Work,,fabio:Page,fabio:AnalogItem
Flugschrift,Pamphlet,,https://d-nb.info/gnd/4154770-6,fabio:Work,,fabio:PrintObject,fabio:AnalogItem
Flussverlauf,River Course,Y,https://d-nb.info/gnd/4133254-4,,,,
Formularsammlung,Book of Forms,,https://d-nb.info/gnd/4155034-1,fabio:WorkCollection,,fabio:PrintObject,fabio:AnalogItem
Forschungsbericht,Research Report,Y,https://d-nb.info/gnd/4155043-2,fabio:TechnicalReport,,fabio:PrintObject,fabio:AnalogItem
fortlaufendes Sammelwerk,Serial Publication,,https://d-nb.info/gnd/4155074-2,,fabio:Series,fabio:PrintObject,fabio:AnalogItem
Fortlaufendes Sammelwerk,Serial Publication,,https://d-nb.info/gnd/4155074-2,,fabio:Series,fabio:PrintObject,fabio:AnalogItem
Foto,Photo,,https://d-nb.info/gnd/4045895-7,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Fotografie,Photo,,https://d-nb.info/gnd/4045895-7,,,,
Fragment,Part of a Document,,https://d-nb.info/gnd/4155137-0,,fabio:Expression,fabio:PrintObject,fabio:AnalogItem
Frauenliteratur,Women's Literature,Y,https://d-nb.info/gnd/4113622-6,,,,
Freimaurerliteratur,Freemason Literature,Y,https://d-nb.info/gnd/4123227-6,,,,
Freundschaftsbild,Friendship Photo,,https://d-nb.info/gnd/7532598-6,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Frontispiz,Frontispiece,,https://d-nb.info/gnd/4155493-0,fabio:StillImage,,fabio:PrintObject,doco:FrontMatter + fabio:AnalogItem
Führer,Travel Guide,,https://d-nb.info/gnd/4155569-7,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Führer / Reiseführer,Travel Guide,,https://d-nb.info/gnd/4155569-7+https://d-nb.info/gnd/4049291-6,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Führer 1837,Travel Guide,,https://d-nb.info/gnd/4155569-7,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Fürstenspiegel,Mirrors for Princes,,https://d-nb.info/gnd/4018818-8,,fabio:InstructionalBook,fabio:PrintObject,fabio:AnalogItem
Gartenbau,Horticulture,Y,https://d-nb.info/gnd/4019294-5,,,,
Gebet,Prayer,Y,https://d-nb.info/gnd/4019514-4,,,,
Gebetbuch,Prayer Book,Y,https://d-nb.info/gnd/4019515-6+https://d-nb.info/gnd/4019514-4,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Gebietskarte,Area Map,Y,https://d-nb.info/gnd/4029783-4,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Gebrauchsgrafik,Commercial Art,,https://d-nb.info/gnd/4019558-2,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Gebrauchsgrafik/Reklame,"Advertisement",,https://d-nb.info/gnd/4019558-2+https://d-nb.info/gnd/4065541-6,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Gebrauchsgraphik,Commercial Art,,https://d-nb.info/gnd/4019558-2,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Gedicht,Poem,,https://d-nb.info/gnd/4036774-5,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Gedichtband,Book of Poems,,https://d-nb.info/gnd/4036774-5,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Gedichtsammlung,Poetry Collection,,https://d-nb.info/gnd/4036774-5,,,,
Gegentrum,"In geology, a gegentrum is the continuation of a passage on the opposite side of an incised river valley.",Y,https://d-nb.info/gnd/4005614-4,,,,
